,"(0, 0)","(0, 1)","(0, 2)","(1, 0)","(1, 1)","(1, 2)","(2, 0)","(2, 1)","(2, 2)"
 X |X0X|000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 X0|0 X| X0,-2.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,0.0,0.0
  0|XXX|00 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0 X|00X|X  ,-2.7924939287750252,1.1888064000000003,-1.9391764748075004,-2.56956839292004,-1.753480245575025,-2.16208454656,-3.31060294656,1.8331496930312192,9.81985601490518
0  | XX|0X0,-3.6,1.12176,0.0,0.0,0.0,-2.0,0.0,-4.6668656,0.0
 X0| 00| XX,-0.988972496317452,-0.6829124846387201,-0.8152306503680002,2.0,-1.13425436188672,-0.5467482593638523,9.975821483607708,-1.7427841964600197,0.0
0 0|X0X|XX ,-0.5959832868700242,3.6,-0.36801648834969614,-1.0096785838080002,-0.34895115489116935,0.0,-0.7208577964600199,-0.7225920000000001,9.969776854509636
0 0|X0X|XX0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X0 |X00|0XX,-2.4337634144561737,-1.2025840320128607,9.995943518079269,0.0,-1.2737974203604836,-1.1882992115933027,-0.5447019389510592,-1.3967707315649391,-2.4343053350877715
   |XX0| X0,-2.8798320163174522,3.35661702144,9.999941539934508,-0.994055968204395,-0.6887822127877306,-0.6872703334365878,-3.6,-1.0376796848411782,-0.41765247288352786
X0X|0 X|0 X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0XX|  0|X  ,-3.1032681582895387,-3.1032681582895387,-2.0,-2.78245888,7.5863575994551455,-2.2492612591960617,-2.0,-3.1232000000000006,2.607532642831984
000|0 X| XX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X X|00X|0X ,-3.9800000000000004,-2.0,-2.0,-2.0,-8.50032,-3.6,-3.9800000000000004,-5.904000000000001,-2.0
0 0|  X|X0X,-2.0,4.880000000000001,-2.0,0.0,1.8726181142655876,-2.0,0.0,0.0,-2.0
0X | X0|X0 ,-2.0,-3.6,0.6252448473907201,0.0,-2.0,-1.8812034789957632,-1.8812034789957632,-2.0,-2.0
0XX| X0|X00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  0| 0X| XX,-1.8486676916489988,1.890200280219648,-2.9427644963174524,1.2897778101788577,-2.7061136706797564,-1.178706902222789,9.994929397599087,-1.8733740051499694,0.0
0XX|X 0|X00,0.0,-1.316,0.0,0.0,5.904000000000001,0.0,0.0,-1.62,0.0
0XX|X00|X00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00X|X0 |XX0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X X|00 | 0X,-1.7458258857984,2.0,-0.4406662679640674,-0.49845887999999994,-1.659081797405901,9.926213023705163,-7.37856,-1.5585127474167808,-1.313064442035045
X X|000| 0X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00X|0XX| 0X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
